#  <E> (keV)       low        high     E^2dN/dE (keV/cm^2/s)   err-      err+
   0.1000E+06   0.9071E+05   0.1093E+06   0.3706E-02    0.000        0.000
   0.1186E+06   0.1076E+06   0.1296E+06   0.5020E-02    0.000        0.000
   0.1406E+06   0.1275E+06   0.1536E+06   0.6710E-02    0.000        0.000
   0.1667E+06   0.1512E+06   0.1822E+06   0.8860E-02    0.000        0.000
   0.1977E+06   0.1793E+06   0.2160E+06   0.1157E-01    0.000        0.000
   0.2344E+06   0.2126E+06   0.2561E+06   0.1493E-01    0.000        0.000
   0.2779E+06   0.2521E+06   0.3037E+06   0.1902E-01    0.000        0.000
   0.3295E+06   0.2989E+06   0.3601E+06   0.2399E-01    0.000        0.000
   0.3907E+06   0.3544E+06   0.4270E+06   0.2993E-01    0.000        0.000
   0.4632E+06   0.4202E+06   0.5063E+06   0.3693E-01    0.000        0.000
   0.5493E+06   0.4983E+06   0.6003E+06   0.4509E-01    0.000        0.000
   0.6513E+06   0.5908E+06   0.7118E+06   0.5437E-01    0.000        0.000
   0.7722E+06   0.7005E+06   0.8439E+06   0.6441E-01    0.000        0.000
   0.9157E+06   0.8306E+06   0.1001E+07   0.7433E-01    0.000        0.000
   0.1086E+07   0.9849E+06   0.1187E+07   0.8325E-01    0.000        0.000
   0.1287E+07   0.1168E+07   0.1407E+07   0.9302E-01    0.000        0.000
   0.1526E+07   0.1385E+07   0.1668E+07   0.1045        0.000        0.000
   0.1810E+07   0.1642E+07   0.1978E+07   0.1158        0.000        0.000
   0.2146E+07   0.1947E+07   0.2345E+07   0.1262        0.000        0.000
   0.2545E+07   0.2308E+07   0.2781E+07   0.1356        0.000        0.000
   0.3017E+07   0.2737E+07   0.3297E+07   0.1436        0.000        0.000
   0.3577E+07   0.3245E+07   0.3910E+07   0.1503        0.000        0.000
   0.4242E+07   0.3848E+07   0.4636E+07   0.1553        0.000        0.000
   0.5030E+07   0.4562E+07   0.5497E+07   0.1589        0.000        0.000
   0.5964E+07   0.5410E+07   0.6517E+07   0.1608        0.000        0.000
   0.7071E+07   0.6414E+07   0.7728E+07   0.1620        0.000        0.000
   0.8384E+07   0.7606E+07   0.9163E+07   0.1626        0.000        0.000
   0.9941E+07   0.9018E+07   0.1086E+08   0.1637        0.000        0.000
   0.1179E+08   0.1069E+08   0.1288E+08   0.1646        0.000        0.000
   0.1398E+08   0.1268E+08   0.1527E+08   0.1650        0.000        0.000
   0.1657E+08   0.1503E+08   0.1811E+08   0.1646        0.000        0.000
   0.1965E+08   0.1783E+08   0.2147E+08   0.1616        0.000        0.000
   0.2330E+08   0.2114E+08   0.2546E+08   0.1553        0.000        0.000
   0.2763E+08   0.2506E+08   0.3019E+08   0.1432        0.000        0.000
   0.3276E+08   0.2971E+08   0.3580E+08   0.1253        0.000        0.000
   0.3884E+08   0.3523E+08   0.4245E+08   0.1001        0.000        0.000
   0.4605E+08   0.4178E+08   0.5033E+08   0.7029E-01    0.000        0.000
   0.5461E+08   0.4954E+08   0.5968E+08   0.3990E-01    0.000        0.000
   0.6475E+08   0.5873E+08   0.7076E+08   0.1768E-01    0.000        0.000
   0.7677E+08   0.6964E+08   0.8390E+08    0.000        0.000        0.000
   0.9103E+08   0.8258E+08   0.9948E+08    0.000        0.000        0.000
   0.1079E+09   0.9791E+08   0.1180E+09    0.000        0.000        0.000
   0.1280E+09   0.1161E+09   0.1399E+09    0.000        0.000        0.000
   0.1517E+09   0.1377E+09   0.1658E+09    0.000        0.000        0.000
   0.1799E+09   0.1632E+09   0.1966E+09    0.000        0.000        0.000
   0.2133E+09   0.1935E+09   0.2332E+09    0.000        0.000        0.000
   0.2530E+09   0.2295E+09   0.2764E+09    0.000        0.000        0.000
   0.2999E+09   0.2721E+09   0.3278E+09    0.000        0.000        0.000
   0.3556E+09   0.3226E+09   0.3887E+09    0.000        0.000        0.000
   0.4217E+09   0.3887E+09   0.6325E+09    0.000        0.000        0.000
